"","Codigo","Sexo","Escuela","Grado","Grupo","EscuelaGradoGrupo","Calificacin","Tareas","LentoXRastreador","Conteo1P","Conteo2P","Conteo3P","ConteoT","Target","Validacin","NumEntrenamientos","ConteoCorrecto","ConteocorrectoyTarget","ConteoCorrecto1213","ConteocorrectoyTarget1213","Niveldeactividad","SonrisayRisa","Placeraltaintensidad","Impulsividad","Aprox","Timidez","Miedo","Malestar","Tristeza","Frustracin","Autotranquilizacion","controlInhibitorio","Placerbajaintensidad","Sensibilidadperceptual","Atencionfoc","distractibilidad","conjuntoatencion","ControlEsforzadocondistractibilidad","AfectoNegativo","ExtraversinSurgency","CESindistractibilidad","Alerta","Orientacion","Conflicto","CEAltosBajos","ANAltosBajos","SurgencyAltosBajos","CESindistracAltosBajos","CEsuperaltosbajos","ANsuperaltosbajos","Sugencysuperaltosbajos","CEsindistracsuperaltosbajos","AlertaAltosBajos","OrientacionAltosBajos","ConflictoAltosNajos","Perfiles","PerfilessinDistractibilidad","NiveldeactividadALTOSBAJOS","SonrisayRisaALTOSBAJOS","PlaceraltaintensidadALTOSBAJOS","ImpulsividadALTOSBAJOS","AproxALTOSBAJOS","TimidezALTOSBAJOS","MiedoALTOSBAJOS","MalestarALTOSBAJOS","TristezaALTOSBAJOS","FrustracinALTOSBAJOS","AutotranquilizacionALTOSBAJOS","controlInhibitorioALTOSBAJOS","PlacerbajaintensidadALTOSBAJOS","SensibilidadperceptualALTOSBAJOS","AtencionfocALTOSBAJOS","distractibilidadALTOSBAJOS","conjuntoatencionALTOSBAJOS","ANT_percentcorrect"
"174",290,"1",3,1,10,"3.1",NA,"COMPLETO","Tal vez ya lo hab’an visto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,5.25,4.27,4.69,5.23,1.45,4.5,4.75,3.4,4.27,5.17,4.83,5.69,5,5.13,4.6,4.92,5.050128205,4.417878788,4.108391608,5.162660256,185.5,-52,-54,1,1,0,1,1,NA,0,1,1,0,0,3,3,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,52.08
"175",291,"0",3,1,10,"3.1",NA,"COMPLETO","Tal vez ya lo hab’an visto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92,5.08,5,3.83,4.92,4.23,4.92,4.42,4.25,4.77,4.33,4.46,5.15,5,5,3,4.29,4.523076923,4.537179487,4.664529915,4.903846154,162,123,31.5,0,1,1,1,NA,1,NA,NA,1,1,0,1,3,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,90.97
"176",292,"0",3,1,10,"3.1",NA,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5.08,6.67,6.31,6.23,1.08,5.92,5.58,4.09,5.42,4.46,4.46,5.75,5.45,3.67,3.8,3.71,4.626550117,5.093822844,5.144230769,4.833187646,94.5,5.5,45.5,0,1,1,1,NA,1,1,NA,1,0,0,1,3,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,99.31
"177",293,"1",3,1,10,"3.1",NA,"COMPLETO","Tal vez ya lo hab’an visto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,5.08,4.69,3.54,5.23,3.69,4.17,3.55,2.25,2.69,5.75,6.54,6.25,5.17,6.22,4.6,5.64,5.755470085,3.680885781,4.230769231,6.044337607,79,57,109,1,0,0,1,1,0,0,1,1,1,1,2,2,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,93.06
"178",295,"0",3,1,10,"3.1",NA,"Falta Gorila","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17,5.15,6.08,3.69,5.69,5.33,2.92,2.92,4.09,5.15,4.38,4.69,5.46,5.5,5.89,3.8,5.14,5.068547009,3.892540793,5.019230769,5.385683761,67,-28.5,196.5,1,0,1,1,1,0,1,1,1,0,1,2,2,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,94.44
"179",296,"0",3,1,10,"3.1",NA,"COMPLETO","Ya lo hab’a visto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.08,5.46,4.54,4.31,5.31,2.92,4.92,4.25,4.58,4.46,4.5,5.54,5.62,5.17,3.78,5.4,4.36,5.09965812,4.542307692,4.436965812,5.02457265,53.5,162.5,268,1,1,0,1,1,1,NA,NA,0,1,1,3,3,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,79.86
"180",297,"1",3,1,10,"3.1",NA,"COMPLETO","Ya lo hab’a visto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.46,3.46,4.23,5.15,1.92,5.42,4.17,4.75,5.15,3.75,4.46,4.45,5.33,3.44,3.4,3.43,4.218772339,4.647435897,3.954059829,4.423465423,87.5,77,67,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,96.53
"181",300,"0",4,1,11,"4.1A",10,"COMPLETO","",6,9,NA,12,0,1,2,1,0,1,0,3.92,5,5.15,4.62,5.69,3.85,2.42,3.25,3.25,3,4.85,5.54,5.31,5.5,5.38,4.6,5.08,5.264230769,3.352564103,4.704059829,5.430288462,59,52,21,1,0,1,1,1,0,NA,1,1,1,0,2,2,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,96.53
"182",301,"1",4,1,11,"4.1A",9.4,"COMPLETO","",9,NA,NA,12,1,NA,1,1,1,1,1,3.62,5.23,5.54,4.31,4.31,2.54,4.17,4.25,4.58,5.15,3.54,3.54,5.92,4.5,2.75,3.4,3,4.022307692,4.338461538,4.256410256,4.177884615,-5,73.5,116,0,1,0,0,0,NA,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,88.19
"183",302,"0",4,1,11,"4.1A",9.6,"COMPLETO","",9,NA,NA,12,1,NA,1,1,1,1,1,2.69,5.33,2.62,3.62,5.85,3.46,4.27,3.42,3.67,3.75,5.5,6.62,6.08,4.83,5.88,4.4,5.31,5.560128205,4.121212121,3.927350427,5.850160256,95.5,48.5,55,1,0,0,1,1,NA,0,1,1,1,0,2,2,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,97.22
